dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,232.251584,213.047027,131.430474,29.127161,-13.066014,0.606212,6.119036
0.020000,232.821299,212.953617,132.007796,28.866082,-13.053962,0.602609,6.122302
0.020000,233.386163,212.862880,132.579901,28.605258,-13.041223,0.636970,6.125519
0.020000,233.946166,212.774758,133.146795,28.344688,-13.028497,0.636304,6.128686
0.020000,234.501297,212.689189,133.708482,28.084373,-13.015742,0.637707,6.131805
0.020000,235.051548,212.606115,134.264969,27.824320,-13.002623,0.655965,6.134877
0.020000,235.596909,212.525478,134.816259,27.564532,-12.989404,0.660963,6.137900
0.020000,236.137373,212.447222,135.362359,27.305011,-12.976083,0.666036,6.140876
0.020000,236.672932,212.371290,135.903275,27.045757,-12.962660,0.671159,6.143806
0.020000,237.203579,212.297627,136.439010,26.786776,-12.949052,0.680382,6.146690
0.020000,237.729308,212.226179,136.969571,26.528068,-12.935395,0.682859,6.149527
0.020000,238.250112,212.156892,137.494964,26.269633,-12.921783,0.680633,6.152320
0.020000,238.765986,212.089716,138.015194,26.011475,-12.907890,0.694603,6.155067
0.020000,239.276925,212.024597,138.530265,25.753593,-12.894120,0.688524,6.157770
0.020000,239.782924,211.961486,139.040185,25.495988,-12.880246,0.693686,6.160429
0.020000,240.283979,211.900334,139.544958,25.238661,-12.866332,0.695715,6.163045
0.020000,240.780087,211.841091,140.044591,24.981613,-12.852415,0.695843,6.165618
0.020000,241.271243,211.783710,140.539088,24.724843,-12.838493,0.696107,6.168148
0.020000,241.757445,211.728144,141.028455,24.468352,-12.824563,0.696486,6.170636
0.020000,242.238690,211.674347,141.512697,24.212139,-12.810624,0.696960,6.173082
0.020000,242.714976,211.622273,141.991821,23.956203,-12.796793,0.691534,6.175487
0.020000,243.186301,211.571880,142.465832,23.700546,-12.782846,0.697388,6.177852
0.020000,243.652662,211.523122,142.934736,23.445164,-12.769095,0.687552,6.180176
0.020000,244.114059,211.475958,143.398537,23.190060,-12.755205,0.694458,6.182460
0.020000,244.570490,211.430346,143.857241,22.935230,-12.741510,0.684775,6.184706
0.020000,245.021955,211.386245,144.310855,22.680672,-12.727903,0.680344,6.186912
0.020000,245.468452,211.343615,144.759383,22.426388,-12.714195,0.685402,6.189080
0.020000,245.909982,211.302416,145.202830,22.172375,-12.700649,0.677291,6.191210
0.020000,246.346543,211.262611,145.641203,21.918629,-12.687301,0.667401,6.193302
0.020000,246.778137,211.224160,146.074506,21.665153,-12.673785,0.675789,6.195357
0.020000,247.204763,211.187028,146.502745,21.411946,-12.660386,0.669954,6.197376
0.020000,247.626422,211.151179,146.925925,21.158996,-12.647487,0.644976,6.199359
0.020000,248.043114,211.116576,147.344051,20.906316,-12.633988,0.674960,6.201305
0.020000,248.454840,211.083184,147.757129,20.653889,-12.621363,0.631206,6.203217
0.020000,248.861601,211.050971,148.165163,20.401724,-12.608227,0.656809,6.205094
